player,pos,ts_percent,usg_percent,vorp,ts_rank,usg_rank,vorp_rank,empty_stats
Evan Mobley,PF,0.596,22.6,2.6,0.359375,0.828125,0.03125,1.21875
Malik Monk,SG,0.568,24,0.2,0.48936170212765956,0.8936170212765957,0.48936170212765956,1.8723404255319147
Moses Moody,SG,0.6,18.3,0.7,0.2553191489361702,0.5531914893617021,0.32978723404255317,1.1382978723404256
Trey Murphy III,SF,0.613,22.7,2.6,0.14925373134328357,0.7313432835820896,0.11940298507462686,1
Collin Murray-Boyles,PF,0.621,15.5,1,0.1875,0.296875,0.234375,0.71875
Jamal Murray,PG,0.622,27.9,4.1,0.04918032786885246,0.8524590163934426,0.06557377049180328,0.9672131147540982
Kris Murray,SF,0.55,10.6,0.2,0.7313432835820896,0.014925373134328358,0.5522388059701493,1.2985074626865671
Svi Mykhailiuk,SF,0.626,14.8,0.1,0.11940298507462686,0.1791044776119403,0.6119402985074627,0.9104477611940298
Pete Nance,PF,0.639,13.5,-0.1,0.125,0.171875,0.75,1.046875
Andrew Nembhard,PG,0.564,23.6,0.6,0.5081967213114754,0.6885245901639344,0.45901639344262296,1.6557377049180328
Ryan Nembhard,PG,0.492,17.5,-0.6,0.9180327868852459,0.22950819672131148,0.9344262295081968,2.081967213114754
Aaron Nesmith,SF,0.554,19.8,-0.5,0.7014925373134329,0.582089552238806,0.9104477611940298,2.1940298507462686
Asa Newell,PF,0.624,17.1,0.1,0.15625,0.46875,0.65625,1.28125
Zeke Nnaji,PF,0.558,13.7,-0.3,0.75,0.1875,0.921875,1.859375
Jusuf Nurkić,C,0.548,19.3,0.9,0.9,0.7142857142857143,0.42857142857142855,2.0428571428571427
Josh Okogie,SG,0.544,11.3,0.3,0.648936170212766,0.0425531914893617,0.44680851063829785,1.1382978723404253
Onyeka Okongwu,C,0.592,19.5,1.6,0.6428571428571429,0.7285714285714285,0.22857142857142856,1.6
Isaac Okoro,SG,0.574,13.6,-0.8,0.44680851063829785,0.1276595744680851,0.9042553191489362,1.478723404255319
Kelly Olynyk,C,0.59,16,0.2,0.6857142857142857,0.34285714285714286,0.7428571428571429,1.7714285714285714
Royce O'Neale,SF,0.596,14.3,1.5,0.26865671641791045,0.16417910447761194,0.2537313432835821,0.6865671641791045
Kelly Oubre Jr.,SF,0.58,18.2,0.2,0.43283582089552236,0.4626865671641791,0.5522388059701493,1.4477611940298507
Gary Payton II,SG,0.632,18.4,1.1,0.06382978723404255,0.5638297872340425,0.23404255319148937,0.8617021276595744
Micah Peavy,SG,0.455,14,-0.7,0.9787234042553191,0.14893617021276595,0.8723404255319149,2
