player,player_id,pos,team,g,gs,mp,pg_percent,sg_percent,sf_percent,pf_percent,c_percent,position,value,ht_ft,ht_in,wt,full_in_ht,position_2,ows,dws,ws,ws_48,obpm,dbpm,bpm,vorp,leader
Bilal Coulibaly,coulibi01,SG,WAS,56,56,1468,2,41,50,7,0,wing_small_percent,91,6,7,195,79,wing,0.2,0.8,1,0.031,-1.7,-0.4,-2.1,-0.1,FALSE
Cedric Coward,cowarce01,SG,MEM,62,47,1598,1,65,30,4,0,wing_small_percent,95,6,5,206,77,wing,1.4,1.1,2.5,0.076,0.4,-0.6,-0.2,0.7,TRUE
Isaiah Crawford,crawfis01,SF,HOU,14,0,92,0,4,68,26,2,wing_big_percent,94,6,6,220,78,wing,0,0.1,0.1,0.069,-3,0.1,-3,0,FALSE
LJ Cryer,cryerlj01,PG,GSW,18,1,292,100,0,0,0,0,guard_percent,100,6,1,202,73,guard,0.2,0.1,0.3,0.045,-1.8,-2.9,-4.7,-0.2,FALSE
Cade Cunningham,cunnica01,PG,DET,64,64,2172,83,17,0,0,0,guard_percent,100,6,6,220,78,guard,4.2,3.6,7.9,0.174,4.8,1.5,6.3,4.6,TRUE
Seth Curry,curryse01,SG,GSW,10,0,133,19,68,13,0,0,guard_percent,87,6,1,185,73,guard,0.4,0.1,0.4,0.152,1.6,-1.3,0.2,0.1,FALSE
Stephen Curry,curryst01,PG,GSW,43,41,1329,100,0,0,0,0,guard_percent,100,6,2,185,74,guard,2.9,1.2,4.1,0.147,6.3,-1,5.4,2.5,TRUE
Pacôme Dadiet,dadiepa01,SG,NYK,29,0,136,9,53,37,1,0,wing_small_percent,90,6,9,210,81,wing,0,0.2,0.2,0.062,-3,-0.2,-3.3,0,FALSE
Dyson Daniels,daniedy01,SG,ATL,76,76,2520,1,46,52,1,0,wing_small_percent,98,6,7,199,79,wing,3.1,3.6,6.6,0.126,-0.6,1.8,1.3,2.1,FALSE
Tristan Da Silva,dasiltr01,SF,ORL,77,34,1899,0,4,83,13,0,wing_big_percent,96,6,8,217,80,wing,1.3,2.1,3.3,0.084,-0.7,0.1,-0.6,0.7,FALSE
Anthony Davis,davisan02,PF,DAL,20,20,626,0,0,0,11,89,big_percent,100,6,10,253,82,big,0.4,1,1.3,0.103,1.5,0.9,2.4,0.7,FALSE
JD Davison,davisjd01,PG,HOU,28,0,218,42,59,0,0,0,guard_percent,101,6,1,195,73,guard,0.2,0.3,0.5,0.102,-2.4,1.3,-1.1,0,FALSE
Egor Dёmin,demineg01,PG,BRK,52,45,1308,76,25,0,0,0,guard_percent,101,6,8,200,80,guard,0.1,0.7,0.9,0.032,-0.9,-0.7,-1.6,0.1,TRUE
RayJ Dennis,dennira01,PG,ATL,3,0,34,100,0,0,0,0,guard_percent,100,6,1,180,73,guard,0,0,0,0.017,-6.9,-1.6,-8.5,-0.1,FALSE
RayJ Dennis,dennira01,PG,IND,13,0,168,100,0,0,0,0,guard_percent,100,6,1,180,73,guard,-0.4,0.1,-0.3,-0.085,-4,-1.3,-5.2,-0.1,FALSE
RayJ Dennis,dennira01,PG,LAC,1,0,4,100,0,0,0,0,guard_percent,100,6,1,180,73,guard,0,0,0,-0.272,-15.3,-0.2,-15.5,0,FALSE
