player_id,player,tm,season,experience,salary,vorp,cap,percent_of_cap,vorp_per_percent_of_cap,wins_added,predicted_sal,act_minus_predict,diff_as_percent_of_cap
4197,Robert Covington,LAC,2022,9,12975471,0.8,112414000,0.11542575657836213,6.930862085854148,2.16,5922298.536585366,7053172.463414634,0.06274282974909383
4197,Robert Covington,MIN,2019,6,10464092,0.8,101869000,0.10272106332642904,7.788081373902294,2.16,5366757.073170732,5097334.926829268,0.05003813649716075
4197,Robert Covington,PHI,2015,2,1000000,1.3,63065000,0.01585665583128518,81.98450000000001,3.5100000000000002,5398979.268292683,-4398979.268292683,-0.06975310026627579
4197,Robert Covington,PHI,2016,3,1000000,0.5,70000000,0.014285714285714285,35,1.35,2304878.048780488,-1304878.0487804879,-0.018641114982578397
4197,Robert Covington,PHI,2017,4,1015696,1.1,94143000,0.01078886374982739,101.95698319182118,2.9700000000000006,6819627.073170733,-5803931.073170733,-0.06165016064041652
4197,Robert Covington,PHI,2018,5,16698103,2.3,99093000,0.16850941035189165,13.649089360629766,6.21,15008964.146341464,1689138.8536585364,0.017045995717745316
4197,Robert Covington,POR,2021,8,12138345,1,109140000,0.11121811434854316,8.991341076563568,2.7,7187268.292682927,4951076.707317073,0.04536445581195779
4199,Rudy Gobert,UTA,2014,1,1078800,-0.1,58679000,0.018384771383288742,-5.439284390063033,-0.27,-386422.6829268293,1465222.6829268294,0.02497013723694728
4199,Rudy Gobert,UTA,2015,2,1127400,3.4,63065000,0.017876793784190916,190.19070427532372,9.18,14120407.31707317,-12993007.31707317,-0.2060256452401993
4199,Rudy Gobert,UTA,2016,3,1175880,2,70000000,0.016798285714285714,119.05976800353778,5.4,9219512.195121951,-8043632.195121951,-0.11490903135888501
4199,Rudy Gobert,UTA,2017,4,2121288,4.4,94143000,0.022532615276759822,195.27249482389945,11.880000000000003,27278508.29268293,-25157220.29268293,-0.26722348228421583
4199,Rudy Gobert,UTA,2018,5,21974719,2.5,99093000,0.22175853995741374,11.273522997040372,6.75,16314091.463414636,5660627.5365853645,0.057124393615950314
4199,Rudy Gobert,UTA,2019,6,23241573,4.8,101869000,0.22815157702539537,21.03864484559629,12.96,32200542.43902439,-8958969.439024389,-0.08794598395021438
4199,Rudy Gobert,UTA,2020,7,25008427,3.3,109140000,0.22914080080630383,14.401625500076433,8.91,23717985.36585366,1290441.6341463402,0.011823727635572111
4199,Rudy Gobert,UTA,2021,8,27525281,3.6,109140000,0.2522015851200293,14.274295692022182,9.72,25874165.85365854,1651115.1463414617,0.015128414388321987
4199,Rudy Gobert,UTA,2022,9,35344828,3.6,112414000,0.31441660291422774,11.44977703668554,9.72,26650343.41463415,8694484.58536585,0.07734343218252042
4200,Ryan Kelly,ATL,2017,4,418228,0,94143000,0.004442475808079199,0,0,0,418228,0.004442475808079199
4200,Ryan Kelly,LAL,2015,2,1650000,-0.4,63065000,0.02616348212162055,-15.28848484848485,-1.08,-1661224.3902439026,3311224.390243903,0.052504945536254705
4200,Ryan Kelly,LAL,2016,3,1724250,-0.2,70000000,0.024632142857142856,-8.119472234304771,-0.54,-921951.2195121952,2646201.2195121953,0.03780287456445993
4201,Scotty Hopson,DAL,2018,2,74159,0,99093000,7.483777865237706e-4,0,0,0,74159,7.483777865237706e-4
4201,Scotty Hopson,OKC,2019,NA,85458,0,101869000,8.389009414051379e-4,0,0,0,85458,8.389009414051379e-4
4201,Scotty Hopson,OKC,2022,3,99380,0,112414000,8.840535876314338e-4,0,0,0,99380,8.840535876314338e-4
4202,Sergey Karasev,BRK,2015,2,1533840,0,63065000,0.024321572980258464,0,0,0,1533840,0.024321572980258464
4202,Sergey Karasev,BRK,2016,3,1599840,-0.2,70000000,0.022854857142857142,-8.750875087508751,-0.54,-921951.2195121952,2521791.2195121953,0.03602558885017422
4202,Sergey Karasev,CLE,2014,1,1467840,-0.3,58679000,0.025014741219175515,-11.992928384565074,-0.81,-1159268.0487804879,2627108.048780488,0.044770838780151125
4203,Seth Curry,BRK,2022,8,8207518,0.4,112414000,0.07301152881313715,5.478586827345369,1.08,2961149.268292683,5246368.731707317,0.046670065398503005
4203,Seth Curry,DAL,2017,4,2898000,1.7,94143000,0.030782957840731654,55.225362318840574,4.59,10539423.658536585,-7641423.658536585,-0.08116826167146346
