player,season,pos,age,experience,ts_percent,usg_percent,vorp,ts_rank,usg_rank,vorp_rank,empty_stats
Walter Simon,1974,SF,34,7,0.503,19.9,0.6,0.5,0.47058823529411764,0.4642857142857143,1.434873949579832
Warren Jabali,1974,SG,27,6,0.501,21.9,1.5,0.5625,0.5,0.25,1.3125
Wil Jones,1974,PF,26,5,0.49,18.4,1.1,0.54,0.5,0.36,1.4
Wilbert Robinson,1974,SG,24,1,0.451,22.4,-0.5,0.8958333333333334,0.625,0.9166666666666666,2.4375
Willie Long,1974,SF,23,3,0.485,23,0,0.6428571428571429,0.7647058823529411,0.625,2.032563025210084
Willie Sojourner,1974,C,25,3,0.512,15.7,0.2,0.47619047619047616,0.07692307692307693,0.7857142857142857,1.338827838827839
Willie Wise,1974,SF,26,5,0.544,23.9,3.6,0.16071428571428573,0.8235294117647058,0.05357142857142857,1.03781512605042
Zelmo Beaty,1974,PF,34,11,0.569,17.1,1.9,0.04,0.35714285714285715,0.14,0.5371428571428571
Al Skinner,1975,SG,22,1,0.542,19.4,0.5,0.12903225806451613,0.4,0.3870967741935484,0.9161290322580645
Al Smith,1975,PG,28,4,0.481,17.7,-0.8,0.6976744186046512,0.5625,0.9534883720930233,2.2136627906976742
Artis Gilmore,1975,C,25,4,0.615,22,6.1,0,0.9285714285714286,0.021739130434782608,0.9503105590062112
Barry Parkhill,1975,SG,23,2,0.445,18.4,-1.8,0.8709677419354839,0.3,1,2.170967741935484
Bill Keller,1975,PG,27,6,0.512,21,1.1,0.4883720930232558,0.875,0.4883720930232558,1.8517441860465116
Bill Melchionni,1975,PG,30,8,0.528,16,0.7,0.3488372093023256,0.25,0.627906976744186,1.2267441860465116
Billy Harris,1975,SG,23,1,0.431,24.7,-0.8,0.9193548387096774,0.75,0.967741935483871,2.6370967741935485
Billy Knight,1975,SF,22,1,0.571,21.1,2.2,0.06896551724137931,0.65,0.13793103448275862,0.856896551724138
Billy Paultz,1975,C,26,5,0.523,19.2,2.1,0.41304347826086957,0.35714285714285715,0.2608695652173913,1.031055900621118
Billy Shepherd,1975,PG,25,3,0.52,16.1,0.7,0.3953488372093023,0.3125,0.627906976744186,1.3357558139534884
Bird Averitt,1975,SG,22,2,0.476,26.9,0.1,0.6935483870967742,0.95,0.5806451612903226,2.2241935483870967
Bo Lamar,1975,PG,23,2,0.47,25.7,0.3,0.8372093023255814,1,0.7441860465116279,2.5813953488372094
Bob Netolicky,1975,PF,32,8,0.529,16.5,-0.1,0.2,0.13333333333333333,0.8,1.1333333333333333
Bob Warren,1975,SG,28,7,0.546,14.7,0.2,0.06451612903225806,0.05,0.5483870967741935,0.6629032258064516
Bobby Jones,1975,PF,23,1,0.626,17.2,5.2,0,0.2,0.02,0.22
Brian Taylor,1975,PG,23,3,0.549,17.7,3,0.16279069767441862,0.5625,0.06976744186046512,0.7950581395348838
Byron Beck,1975,PF,30,8,0.539,18,0.5,0.16,0.3333333333333333,0.5,0.9933333333333333
Caldwell Jones,1975,C,24,2,0.533,20.2,2.7,0.3695652173913043,0.5,0.15217391304347827,1.0217391304347827
Charles Edge,1975,SF,24,2,0.519,17.1,0.4,0.25862068965517243,0.15,0.46551724137931033,0.8741379310344828
Chuck Terry,1975,SF,24,3,0.502,12.3,0.3,0.5,0,0.5689655172413793,1.0689655172413794
