player,season,pts_per_game,trb_per_game,ast_per_game,stl_per_game,blk_per_game,pts_as_percent_of_other_stats
John Wetzel,1975,3.8,1.8,1.2,0.8,0.1,0.4935064935064935
John Williamson,1975,11.5,2,2.6,0.8,0.3,0.6686046511627906
Jon McGlocklin,1975,9,1.5,3.2,0.6,0.1,0.6250000000000001
Julius Erving,1975,27.9,10.9,5.5,2.2,1.9,0.5764462809917356
Kareem Abdul-Jabbar,1975,30,14,4.1,1,3.3,0.5725190839694657
Ken Charles,1975,7.6,2.1,2.2,1.1,0.3,0.5714285714285714
Kevin Joyce,1975,14.9,2,4,1.3,0.3,0.6622222222222223
Kevin Kunnert,1975,10.8,8.4,1.4,0.5,1.1,0.48648648648648646
Kevin Porter,1975,11.6,1.9,8,1.9,0.1,0.49361702127659574
Kevin Restani,1975,5.4,5.3,1.6,0.5,0.3,0.4122137404580153
