seas_id,season,player_id,player,pos,tm,g,mp,pg_percent,sg_percent,sf_percent,pf_percent,c_percent,position,value,ht_ft,ht_in,wt,full_in_ht,position_2,ows,dws,ws,ws_48,obpm,dbpm,bpm,vorp,leader
31079,2023,3791,Thaddeus Young,PF,TOR,54,795,0,6,40,48,7,wing_big_percent,88,6,8,235,80,wing,0.7,1.1,1.8,0.109,-1.8,1.9,0.1,0.4,FALSE
31081,2023,4886,Théo Maledon,PG,CHO,44,854,100,0,0,0,0,guard_percent,100,6,4,175,76,guard,0,0.9,0.8,0.047,-3,0.5,-2.5,-0.1,FALSE
31084,2023,4568,Thomas Bryant,C,LAL,41,876,0,0,0,4,96,big_percent,100,6,10,248,82,big,2.7,1.2,3.8,0.211,2.4,-0.1,2.3,0.9,FALSE
31086,2023,4209,Tim Hardaway Jr.,SG,DAL,71,2152,0,14,73,13,0,wing_small_percent,87,6,5,205,77,wing,1,1.3,2.3,0.051,-0.3,-1.5,-1.8,0.1,FALSE
31087,2023,4055,Tobias Harris,PF,PHI,74,2436,0,0,0,92,8,big_percent,100,6,8,226,80,big,3.1,2.8,5.9,0.116,0.6,0.1,0.7,1.7,FALSE
31089,2023,4570,Torrey Craig,SF,PHO,79,1948,0,0,28,72,0,wing_big_percent,100,6,7,221,79,wing,1.5,2.5,4,0.098,-1.3,0.7,-0.6,0.7,FALSE
31090,2023,4676,Trae Young,PG,ATL,73,2541,100,0,0,0,0,guard_percent,100,6,1,164,73,guard,5.3,1.4,6.7,0.126,5.3,-2,3.3,3.4,TRUE
31091,2023,4887,Tre Jones,PG,SAS,68,1984,100,0,0,0,0,guard_percent,100,6,1,185,73,guard,2.6,0.8,3.4,0.082,-0.2,-0.8,-1,0.5,FALSE
31092,2023,5012,Tre Mann,PG,OKC,67,1183,100,0,0,0,0,guard_percent,100,6,3,178,75,guard,-0.6,1.1,0.5,0.021,-3,-1,-3.9,-0.6,FALSE
31093,2023,5014,Trendon Watford,PF,POR,62,1182,0,0,1,44,55,big_percent,99,6,9,240,81,big,1.3,0.7,2.1,0.084,-1.4,-0.4,-1.8,0.1,FALSE
31094,2023,4888,Trent Forrest,PG,ATL,23,277,53,47,0,0,0,guard_percent,100,6,4,210,76,guard,-0.2,0.2,-0.1,-0.011,-5.4,0.2,-5.2,-0.2,FALSE
31098,2023,4369,Trey Lyles,PF,SAC,74,1247,0,0,1,94,5,big_percent,99,6,9,234,81,big,1.4,1.2,2.6,0.098,0,-0.9,-1,0.3,FALSE
31099,2023,5016,Trey Murphy III,SF,NOP,79,2448,0,0,26,73,2,wing_big_percent,99,6,9,206,81,wing,4.8,2.8,7.6,0.15,1.4,0.4,1.8,2.3,TRUE
